"2-Point Line","Main","Alt+L","Draw a straight line by drawing from the starting point to the endpoint.",
"Add Column...","Print Merge","Ctrl+A","Add Column...",
"Add column ending value","Print Merge","Ctrl+E","Add number ending value (Ctrl+E)",
"Add column starting vlue","Print Merge","Ctrl+S","Add number starting vlue (Ctrl+S)",
"Add to Selection Group 0","Main","Alt+0","Add to Selection Group 0",
"Add to Selection Group 1","Main","Alt+1","Add to Selection Group 1",
"Add to Selection Group 2","Main","Alt+2","Add to Selection Group 2",
"Add to Selection Group 3","Main","Alt+3","Add to Selection Group 3",
"Add to Selection Group 4","Main","Alt+4","Add to Selection Group 4",
"Add to Selection Group 5","Main","Alt+5","Add to Selection Group 5",
"Add to Selection Group 6","Main","Alt+6","Add to Selection Group 6",
"Add to Selection Group 7","Main","Alt+7","Add to Selection Group 7",
"Add to Selection Group 8","Main","Alt+8","Add to Selection Group 8",
"Add to Selection Group 9","Main","Alt+9","Add to Selection Group 9",
"Align Bottom","Main","B","Align Bottom",
"Align Centers Horizontally","Main","C","Align Centers Horizontally",
"Align Centers Vertically","Main","E","Align Centers Vertically",
"Align Left","Main","L","Align Left",
"Align Right","Main","R","Align Right",
"Align Top","Main","T","Align Top",
"Align and Distribute","Main","Ctrl+Shift+A","Precisely position objects in relation to each other or to specific locations on the page.",
"Align to Baseline","Main","Alt+F12","Align to Baseline",
"Alignment Guides","Main","Alt+Shift+A","Enable or disable alignment guides.",
"Artistic Media","Main","I","Add artistic brush, spray, and calligraphic effects by using freehand strokes.",
"B-Spline","Main","Alt+B","Draw curved lines by setting control points that shape the curve without breaking it into segments.",
"Back One","Main","Ctrl+PgDn","Move object one level down in the stacking order.",
"Bold","Table Text Editing","Ctrl+B","Make the text bold.",
"Bold","Text Editing","Ctrl+B","Make the text bold.",
"Break Apart","Main","Ctrl+K","Break the object apart to create multiple objects and paths.",
"Break Symmetry Link","Main","Alt+X","Break the symmetry link to create a group of objects and paths.",
"Brightness/Contrast/Intensity...","Main","Ctrl+B","Brightness/Contrast/Intensity",
"Bring up Property Bar","Main","Ctrl+Enter","Bring up Property Bar",
"Bézier","Main","Alt+Shift+B","Draw curves one segment at a time.",
"Center","Table Text Editing","Ctrl+E","Center text within the bounding box.",
"Center","Text Editing","Ctrl+E","Center text within the bounding box.",
"Change Case...","Table Text Editing","Shift+F3","Change Case",
"Change Case...","Text Editing","Shift+F3","Change Case",
"Close Print Preview","Print Preview","Alt+C","Close Print Preview",
"Close Print Preview","Print Preview","Alt+F4","Close Print Preview",
"Close Window","Main","Ctrl+F4","Close Window",
"Color Balance...","Main","Ctrl+Shift+B","Color Balance",
"Color Styles","Main","Ctrl+F6","Open the Color Styles docker.",
"Column/Frame Break","Table Text Editing","Ctrl+Enter","Column/Frame Break",
"Column/Frame Break","Text Editing","Ctrl+Enter","Column/Frame Break",
"Combine","Main","Ctrl+L","Combine  objects into a single object with common properties.",
"Configure Columns","Print Merge","Ctrl+D","Configure Columns",
"Continually increment value","Print Merge","Ctrl+C","Continually increment value",
"Continually increment value","Print Merge","Ctrl+C","Continually increment value",
"Contour","Main","Ctrl+F9","Contour Docker Window",
"Convert","Main","Ctrl+F8","Convert Text",
"Convert Outline to Object","Main","Ctrl+Shift+Q","Convert outline to object",
"Convert to Curves","Main","Ctrl+Q","Allow the object to be modified by using the shape tools.",
"Copy","Main","Ctrl+C","Place copies of one or more objects on the Clipboard.",
"Copy","Main","Ctrl+Insert","Place copies of one or more objects on the Clipboard.",
"CorelDRAW...","Main","Ctrl+J","CorelDRAW Options",
"Create New Symmetry","Main","Alt+S","Create and add objects to a symmetry group, or convert an existing curve to a symmetry group.",
"Crop","Main","Shift+C","Remove the areas outside a selection.",
"Cut","Main","Ctrl+X","Move one or more objects to the Clipboard.",
"Cut","Main","Shift+Delete","Move one or more objects to the Clipboard.",
"Define Selection Group 1","Main","Ctrl+1","Define Selection Group 1",
"Define Selection Group 4","Main","Ctrl+4","Define Selection Group 4",
"Define Selection Group 5","Main","Ctrl+5","Define Selection Group 5",
"Define Selection Group 6","Main","Ctrl+6","Define Selection Group 6",
"Define Selection Group 7","Main","Ctrl+7","Define Selection Group 7",
"Define Selection Group 8","Main","Ctrl+8","Define Selection Group 8",
"Define Selection Group 9","Main","Ctrl+9","Define Selection Group 9",
"Delete","Main","Delete","Delete",
"Delete","Main","Backspace","Delete",
"Delete","Main","Alt+E","Delete",
"Delete Character to Right","Table Text Editing","Delete","Delete Character to Right",
"Delete Character to Right","Text Editing","Delete","Delete Character to Right",
"Delete Word to Right","Table Text Editing","Ctrl+Delete","Delete Word to Right",
"Delete Word to Right","Text Editing","Ctrl+Delete","Delete Word to Right",
"Distribute Bottom","Main","Shift+B","Distribute Bottom",
"Distribute Centers Horizontally","Main","Shift+E","Distribute Centers Horizontally",
"Distribute Left","Main","Shift+L","Distribute Left",
"Distribute Right","Main","Shift+R","Distribute Right",
"Distribute Spacing Horizontally","Main","Shift+P","Distribute Spacing Horizontally",
"Distribute Top","Main","Shift+T","Distribute Top",
"Document Grid","Main","Alt+Y","Align objects with the document grid.",
"Duplexing Setup Wizard...","Print Preview","Ctrl+D","Duplexing Setup Wizard...",
"Duplicate","Main","Ctrl+D","Duplicate",
"Dynamic Guides","Main","Alt+Shift+D","Align objects with other objects by using dynamic guidelines.",
"Edit Text...","Main","Ctrl+Shift+T","Modify text by using a text editor.",
"Edit column starting value","Print Merge","Ctrl+S","Edit number starting value (Ctrl+S)",
"Edit ending value","Print Merge","Ctrl+E","Edit number ending value (Ctrl+E)",
"Ellipse","Main","F7","Draw circles and ellipses by dragging in the drawing window.",
"Em Dash","Table Text Editing","Alt+_","Em Dash",
"Em Dash","Text Editing","Alt+_","Em Dash",
"Em Space","Table Text Editing","Ctrl+Shift+M","Em Space",
"Em Space","Text Editing","Ctrl+Shift+M","Em Space",
"En Dash","Table Text Editing","Alt+-","En Dash",
"En Dash","Text Editing","Alt+-","En Dash",
"En Space","Table Text Editing","Ctrl+Shift+N","En Space",
"En Space","Text Editing","Ctrl+Shift+N","En Space",
"Envelope","Main","Ctrl+F7","Envelope Docker Window",
"Eraser","Main","X","Remove unwanted areas in a drawing.",
"Exit","Main","Alt+F4","Exit",
"Expand Selection","Table Editing","Ctrl+A","Expand Selection",
"Expand Selection","Table Text Editing","Ctrl+A","Expand Selection",
"Export...","Main","Ctrl+E","Save a duplicate of the document to a different file format.",
"Find and Replace","Main","Ctrl+F","Find and Replace",
"Find and Replace Text...","Table Text Editing","Alt+F3","Find and Replace Text",
"Finish Editing Symmetry","Main","Alt+Shift+E","Exit the Edit Symmetry mode.",
"Font List","Table Text Editing","Ctrl+Shift+F","Choose a typeface for new or selected text.",
"Font List","Text Editing","Ctrl+Shift+F","Choose a typeface for new or selected text.",
"Font Size","Table Text Editing","Ctrl+Shift+P","Specify the font size.",
"Font Size Decrease","Main","Ctrl+NUMPAD2","Font Size Decrease",
"Font Size Decrease","Table Text Editing","Ctrl+NUMPAD2","Font Size Decrease",
"Font Size Decrease","Text Editing","Ctrl+NUMPAD2","Font Size Decrease",
"Font Size Increase","Main","Ctrl+NUMPAD8","Font Size Increase",
"Font Size Increase","Table Text Editing","Ctrl+NUMPAD8","Font Size Increase",
"Font Size Increase","Text Editing","Ctrl+NUMPAD8","Font Size Increase",
"Font Size Next Combo Size","Main","Ctrl+NUMPAD6","Font Size Next Combo Size",
"Font Size Next Combo Size","Table Text Editing","Ctrl+NUMPAD6","Font Size Next Combo Size",
"Font Size Next Combo Size","Text Editing","Ctrl+NUMPAD6","Font Size Next Combo Size",
